event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,missed,160628,,24,3,21,3103.1400674148626,3299.0,0.3931041434719643,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,missed,158485,,34,9,25,3154.6535795562722,3318.0,0.4726504353845881,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,39264,,4,11,-7,3083.1478401791933,3322.0,0.21380505012570794,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,49411,,1,25,-24,3083.979418199877,3349.0,0.1601175807421166,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,96040,,3,12,-9,3091.4265914217585,3324.0,0.1797068488104084,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,74423,,8,34,-26,3112.8082184548166,3370.0,0.24490256013014344,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,158362,,7,16,-9,3102.467963715862,3333.0,0.14231607470840402,56,0.5
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,missed,162136,,20,6,14,3290.4954612103775,3303.0,0.3244596132942063,57,0.7
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,missed,83081,,15,9,6,3306.115375773001,3307.0,0.23290245406323068,57,0.7
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,missed,171947,,18,10,8,3327.549915916532,3310.0,0.2574817619234855,57,0.7
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,false_alarm,93402,,6,14,-8,3332.996339784552,3320.0,0.1809385857262289,57,0.7
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,false_alarm,98130,,11,17,-6,3332.68355007883,3329.0,0.15629095456498626,57,0.7
195007,676294,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,false_alarm,173756,,8,18,-10,3352.785356232633,3333.0,0.1859619211734226,57,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,missed,73429,,31,9,22,3588.9267888552286,3670.0,0.683338730772551,44,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,missed,132893,,13,10,3,3551.7191959750207,3678.0,0.384738841347123,44,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,missed,123501,,12,6,6,3543.969948547171,3648.0,0.3825342370344053,44,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,79637,,8,15,-7,3611.4478507999484,3715.0,0.3350829254920357,44,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,186318,,7,12,-5,3488.535637353913,3682.0,0.29162976004861774,44,0.7
194209,674186,2025 World Triathlon Cup Miyazaki,2,sprint,false_alarm,96687,,3,11,-8,3515.7212317632266,3680.0,0.1808105327168495,44,0.7
195007,676295,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,missed,58449,,12,7,5,3427.4266428158116,3713.0,0.3600910413945804,42,0.8
195007,676295,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,missed,133284,,19,10,9,3586.219014809383,3734.0,0.4800078367661022,42,0.8
195007,676295,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,false_alarm,106305,,7,22,-15,3454.228999606027,3840.0,0.22730308827280868,42,0.8
195007,676295,2025 World Triathlon Cup San Pedro de la Paz,2,sprint,false_alarm,69055,,9,12,-3,3476.123657117868,3741.0,0.263856910876365,42,0.8
194207,674180,2025 World Triathlon Cup Tongyeong,2,sprint,missed,160628,,13,4,9,3112.5646612153923,3079.0,0.2970527523235285,58,0.6
194207,674180,2025 World Triathlon Cup Tongyeong,2,sprint,missed,169633,,14,5,9,3098.412917278527,3081.0,0.31885550528730533,58,0.6
