==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
                    wetsuit       2.31%
       min_swim_gap_sec_24m       2.26%
      ema_swim_split_pct_12       1.98%
               ema_t2_sec_5       1.89%
        avg_bike_gap_leader       1.80%
        ema_run_split_pct_5       1.80%
               ema_t1_sec_5       1.76%
        p90_swim_gap_leader       1.65%
     ema_swim_behind_sec_12       1.63%
     seed_total_gap_to_best       1.62%
ema_swim_to_t1_pos_change_5       1.62%
       std_swim_gap_sec_24m       1.52%
       ema_swim_split_pct_5       1.43%
       ema_bike_split_pct_5       1.41%
          ema_t1_rank_pct_5       1.41%
           ema_perf_ratio_5       1.40%
ema_bike_to_t2_pos_change_5       1.36%
          ema_t2_rank_pct_5       1.30%
             ema_t1t2_sec_5       1.29%
           std_t1t2_sec_24m       1.27%
      ema_swim_behind_sec_5       1.25%
        avg_swim_gap_leader       1.21%
            std_run_sec_24m       1.14%
            swim_form_trend       1.14%
          ema_finish_pct_12       0.97%
           std_swim_sec_24m       0.97%
                  races_12m       0.95%
      ema_finish_pct_sprint       0.86%
           std_bike_sec_24m       0.86%
           ema_finish_pct_3       0.86%
              form_momentum       0.86%
             bike_pack_rate       0.79%
          std_total_sec_24m       0.77%
            n_races_at_tier       0.73%

--- sprint_t1  (top 40) ---
                    feature sprint_t1
     field_depth_top10_mean    36.31%
       days_since_last_race     4.99%
                    wetsuit     3.17%
            ema_total_sec_5     2.28%
              ema_run_sec_5     2.21%
               ema_t1_sec_5     2.19%
               ema_t2_sec_5     2.15%
             ema_bike_sec_5     1.85%
             ema_swim_sec_5     1.81%
          ema_t1_rank_pct_5     1.68%
        avg_bike_gap_leader     1.47%
             ema_t1t2_sec_5     1.43%
        ema_run_split_pct_5     1.41%
ema_swim_to_t1_pos_change_5     1.41%
           std_t1t2_sec_24m     1.37%
       ema_bike_split_pct_5     1.36%
            n_races_at_tier     1.25%
          ema_t2_rank_pct_5     1.25%
           ema_perf_ratio_5     1.25%
       std_swim_gap_sec_24m     1.23%
            swim_form_trend     1.21%
          std_total_sec_24m     1.12%
ema_bike_to_t2_pos_change_5     1.12%
        p90_swim_gap_leader     1.10%
     seed_total_gap_to_best     1.10%
        avg_swim_gap_leader     1.07%
           std_swim_sec_24m     1.07%
           std_bike_pct_24m     0.99%
    ema_finish_pct_standard     0.96%
                 form_trend     0.94%
      ema_swim_behind_sec_5     0.90%
     ema_swim_behind_sec_12     0.90%
           std_bike_sec_24m     0.90%
            freshness_curve     0.90%
       ema_swim_split_pct_5     0.90%
              form_momentum     0.81%
      ema_swim_split_pct_12     0.76%
            std_run_sec_24m     0.74%
          athlete_t1t2_rate     0.74%
      ema_finish_pct_sprint     0.71%

--- sprint_bike  (top 40) ---
                    feature sprint_bike
     field_depth_top10_mean      24.18%
              ema_run_sec_5       3.54%
       days_since_last_race       3.54%
            ema_total_sec_5       2.91%
             ema_bike_sec_5       2.84%
        avg_bike_gap_leader       2.45%
             ema_swim_sec_5       2.41%
        ema_run_split_pct_5       2.32%
               ema_t2_sec_5       2.06%
ema_swim_to_t1_pos_change_5       1.77%
                    wetsuit       1.71%
             ema_t1t2_sec_5       1.71%
          ema_t1_rank_pct_5       1.66%
               ema_t1_sec_5       1.62%
       ema_bike_split_pct_5       1.60%
           std_swim_sec_24m       1.60%
           ema_perf_ratio_5       1.57%
            swim_form_trend       1.55%
          std_total_sec_24m       1.51%
          ema_t2_rank_pct_5       1.49%
ema_bike_to_t2_pos_change_5       1.46%
            n_races_at_tier       1.44%
           std_t1t2_sec_24m       1.44%
     seed_total_gap_to_best       1.40%
